Product.ID,Product.UID,Product.Name,ProductType.ID,User.ID,User.Company,Product.StatusID,Product.SKU,Product.Description,Product.WDescription,Product.InfoURL,Product.FilePath,Product.ImagePath,Support.Mail,Support.Phone,Support.URL,Product.SKUID,Product.CreateDate,Product.ModifyDate,Product.Price,Product.Hide,Product.Bundles,UserCategory.Name,UserCategory.ID,
"25499","26153","PDFsam Enhanced OCR Add-on","2","1001837","LULU Software (7270356 Canada inc)","1","","Transform any PDF file, image, or scanned document into a fully editable file with our advanced Optical Character Recognition feature.
","","","","/1001837/2a71d6af-777b-43d8-b8e9-32640ce0bdfc.png","customersupport@upclick.com","","http://www.sodapdf.com/support.aspx","799","4/10/2019 8:49:12 AM","4/26/2019 11:11:32 AM","14.0000","False","","PDFSam 5","288",
"25486","26140","PDFsam Extended Purchase Protection - module","1","1001837","LULU Software (7270356 Canada inc)","1","","Guarantee your satisfaction with our Extended Purchase Protection service which includes: A 90-day satisfaction period from the date of purchase, and access to our support team.","","http://www.lulusoftware.com","/1001837/3f605496-97b4-4a2d-8011-e45fbc77ed1d_PDFsam_Extended_Purchase_Protection_Certificate.pdf","/1001837/cfe6e4e1-e84b-4cce-9338-9b4b63a4d596.png","info@lulusoftware.com","","","795","4/8/2019 1:45:46 PM","4/8/2019 1:45:46 PM","4.9500","False","","PDFSam 6","297",
"25485","26139","PDFsam Extended Purchase Protection - package","1","1001837","LULU Software (7270356 Canada inc)","1","","Guarantee your satisfaction with our Extended Purchase Protection service which includes: A 90-day satisfaction period from the date of purchase, and access to our support team.","","http://www.lulusoftware.com","/1001837/3f605496-97b4-4a2d-8011-e45fbc77ed1d_PDFsam_Extended_Purchase_Protection_Certificate.pdf","/1001837/cfe6e4e1-e84b-4cce-9338-9b4b63a4d596.png","info@lulusoftware.com","","","794","4/8/2019 1:38:58 PM","4/8/2019 1:46:22 PM","9.9500","False","","PDFSam 6","297",
"25483","26137","Product Replacement Guarantee - Edition","1","1001837","LULU Software (7270356 Canada inc)","1","","Protect your purchase with our Product Replacement Guarantee! We will keep a back-up copy of your digital files should you need to re-download them for any reason (in case of accidental deletion, new PC installation or any other problem).","","http://www.lulusoftware.com","/1001837/b7e4baf5-99a1-464e-901f-c6c78f65aa9a_Product-Replacement-Guarantee-PDFsam.pdf","/1001837/8e9a7000-854f-48a3-9f73-b61374305db4.png","customersupport@upclick.com","","","793","4/8/2019 1:13:21 PM","4/8/2019 1:43:23 PM","9.9500","False","","PDFSam 6","297",
"25482","26136","PDFsam Enhanced 6 OCR","2","1001837","LULU Software (7270356 Canada inc)","1","","Transform any PDF file, image, or scanned document into a fully editable file with our advanced Optical Character Recognition feature.
","","","","/1001837/2a71d6af-777b-43d8-b8e9-32640ce0bdfc.png","customersupport@upclick.com","","http://www.sodapdf.com/support.aspx","792","4/8/2019 10:50:51 AM","5/7/2019 4:01:13 PM","20.0000","False","","PDFSam 6","297",
"25476","26130","PDFsam Enhanced Convert Plan","2","1001837","LULU Software (7270356 Canada inc)","1","","Use our powerful conversion module to convert your documents with accuracy and without loss of information.
","","","","/1001837/bb0967af-8998-46b5-9854-587734edf371.png","customersupport@upclick.com","","http://www.sodapdf.com/support.aspx","791","4/4/2019 12:03:17 PM","4/30/2019 10:17:05 AM","19.0000","False","","PDFSam 6","297",
"25475","26129","PDFsam Enhanced Edit Plan","2","1001837","LULU Software (7270356 Canada inc)","1","","Customize and modify your PDF files with our wide array of editing tools.","","","","/1001837/e80164f8-42d2-4dfe-8362-efd55388cef0.png","customersupport@upclick.com","","http://www.sodapdf.com/support.aspx","790","4/4/2019 12:01:00 PM","4/30/2019 10:16:56 AM","29.0000","False","","PDFSam 6","297",
"25474","26128","PDFsam Enhanced OCR Plan","2","1001837","LULU Software (7270356 Canada inc)","1","","Transform any PDF file, image, or scanned document into a fully editable file with our advanced Optical Character Recognition feature.
","","","","/1001837/2a71d6af-777b-43d8-b8e9-32640ce0bdfc.png","customersupport@upclick.com","","http://www.sodapdf.com/support.aspx","789","4/4/2019 11:57:49 AM","4/30/2019 10:16:47 AM","24.0000","False","","PDFSam 6","297",
"25473","26127","PDFsam Enhanced PRO + OCR Plan","2","1001837","LULU Software (7270356 Canada inc)","1","","Get a complete PDF software solution equipped with all the modules, plus our innovative OCR (Optical Character Recognition) feature that allows you to create digital and editable versions of scanned documents and images.
","","http://sodapdf.com/modules-and-packages/pro-ocr","","/1001837/b0201fd4-8ba3-4d42-bd59-1965e77172b2.png","customersupport@upclick.com","","http://www.sodapdf.com/support.aspx","788","4/4/2019 11:46:06 AM","4/30/2019 10:05:30 AM","89.0000","False","","PDFSam 6","297",
"25472","26126","PDFsam Enhanced Professional Plan","2","1001837","LULU Software (7270356 Canada inc)","1","","Get our advanced PDF solution that will help streamline your workflow. It’s equipped with everything you need to customize, secure, and collaborate on your PDF documents.
","","http://sodapdf.com","","/1001837/9c86b2f8-9012-4a9f-af5d-388205342bc9.png","customersupport@upclick.com","","http://www.sodapdf.com/support.aspx","787","4/4/2019 11:42:17 AM","4/30/2019 10:06:33 AM","69.0000","False","","PDFSam 6","297",
"25471","26125","PDFsam Enhanced Standard Plan","2","1001837","LULU Software (7270356 Canada inc)","1","","Get everything you need to edit, convert and insert elements into your PDF documents. Save time with our easy to use all-in-one package.
","","","","/1001837/12582098-5098-4643-940e-15cedfdc022f.png","customersupport@upclick.com","","http://www.sodapdf.com/support.aspx","786","4/4/2019 11:38:55 AM","4/30/2019 10:06:40 AM","49.0000","False","","PDFSam 6","297",
"25470","26124","PDFsam Enhanced 6 Standard","2","1001837","LULU Software (7270356 Canada inc)","1","","Get everything you need to edit, convert and insert elements into your PDF documents. Save time with our easy to use all-in-one package.
","","","","/1001837/12582098-5098-4643-940e-15cedfdc022f.png","customersupport@upclick.com","","http://www.sodapdf.com/support.aspx","785","4/4/2019 8:56:02 AM","4/30/2019 10:16:40 AM","69.0000","False","","PDFSam 6","297",
"25469","26123","PDFsam Enhanced 6 PRO + OCR","2","1001837","LULU Software (7270356 Canada inc)","1","","Get a complete PDF software solution equipped with all the modules, plus our innovative OCR (Optical Character Recognition) feature that allows you to create digital and editable versions of scanned documents and images.
","","http://sodapdf.com/modules-and-packages/pro-ocr","","/1001837/b0201fd4-8ba3-4d42-bd59-1965e77172b2.png","customersupport@upclick.com","","http://www.sodapdf.com/support.aspx","784","4/4/2019 8:49:26 AM","4/30/2019 10:16:33 AM","129.0000","False","","PDFSam 6","297",
"25468","26122","PDFsam Enhanced 6 Professional","2","1001837","LULU Software (7270356 Canada inc)","1","","Get our advanced PDF solution that will help streamline your workflow. It’s equipped with everything you need to customize, secure, and collaborate on your PDF documents.
","","http://sodapdf.com","","/1001837/9c86b2f8-9012-4a9f-af5d-388205342bc9.png","customersupport@upclick.com","","http://www.sodapdf.com/support.aspx","783","4/4/2019 8:43:22 AM","4/30/2019 10:16:25 AM","109.0000","False","","PDFSam 6","297",
"25381","26035","PDF Architect 7 - Standard Edition","3","1001837","LULU Software (7270356 Canada inc)","1","","All the essential features to create PDFs, convert to formats such as Word and Excel, edit the content of your files, and insert page elements.
","","http://www.pdfarchitect.org","/1001837/db59ce54-5576-44f4-9638-6755c79825e6_PDF_Architect_7_Installer.exe","/1001837/876fd13e-3b44-421c-a881-61c05742c557.jpg","customersupport@upclick.com","","http://support.pdfarchitect.org","781","3/5/2019 10:03:03 AM","5/13/2019 8:37:08 AM","69.0000","False","","PDF Architect 7","296",
"25380","26034","PDF Architect 7 - Pro + OCR Edition","3","1001837","LULU Software (7270356 Canada inc)","1","","Our most advanced and comprehensive PDF plan, with all the advanced features you need to create and convert PDFs, edit your files, insert page elements, review and annotate your work, create digital forms, secure your PDFs, and use OCR.
","","http://www.pdfarchitect.org","/1001837/e29db5cd-26bf-4be3-9435-c60b3adc1ac0_PDF_Architect_7_Installer.exe","/1001837/b20459b9-abbc-44be-9750-860de765bb4d.jpg","customersupport@upclick.com","","http://support.pdfarchitect.org","780","3/5/2019 10:02:53 AM","5/13/2019 8:37:33 AM","139.0000","False","","PDF Architect 7","296",
"25379","26033","PDF Architect 7 - Professional Edition","3","1001837","LULU Software (7270356 Canada inc)","1","","All the advanced features you need to create and convert PDFs, edit your files, insert page elements, review and annotate your work, create digital forms, and secure your PDFs.
","","http://www.pdfarchitect.org","/1001837/22145184-48e6-49c5-9165-993b6aad47f1_PDF_Architect_7_Installer.exe","/1001837/4bc93078-529d-4598-8c05-fbd07aa241f1.jpg","customersupport@upclick.com","","http://support.pdfarchitect.org","779","3/5/2019 10:02:42 AM","5/13/2019 8:37:55 AM","109.0000","False","","PDF Architect 7","296",
